66,69
66,70
71,78
73,85
74,90
75,98
75,103
76,114
76,117
76,125
76,129
76,137
76,143
77,148
79,154
80,157
81,168
82,175
83,185
84,188
84,193
84,197
84,205
85,212
85,223
85,231
85,234
85,242
85,245
85,256
85,261
85,273
84,278
84,279
84,281
84,282
84,285
84,288
81,299
79,303
76,309
75,310
75,311
76,311
87,310
104,310
123,310
133,310
151,310
158,310
192,313
215,313
224,313
242,314
253,314
269,314
275,315
282,315
289,315
291,315
305,315
321,315
337,316
340,316
347,317
349,317
350,317
349,314
336,301
330,295
315,277
307,270
295,256
291,253
283,242
276,230
271,224
263,214
260,209
253,201
251,198
242,189
237,186
229,181
210,167
204,160
191,149
186,145
181,141
169,132
164,129
159,125
154,123
152,122
148,119
144,116
139,113
137,112
126,105
118,100
114,99
107,94
105,93
98,90
95,87
92,86
87,84
83,81
81,79
79,78
78,77
76,76
74,75
74,74
71,71
65,67
63,66
